"version","file","git_change","recorded_in_production_history","proposed_batch","decision","reason","risk_flags","production_schema_signal","referenced_objects","migration_summary"
"20260801081000","20260801081000_safety_hub_linked_scope_fix.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; grant-change","8/9 names mentioned in Production schema","auth.uid; public.action_status_enum; public.rg_be_smart_actions; public.rg_bright_ideas; public.rg_quality_improvement_items; public.rg_record_links; public.rg_risk_register; public.rg_risk_reviews; public.risk_status_enum; public.save_safety_hub_form","Linked records inherit the source record scope. This replaces the initial function without rewriting its applied migration history. A record created from another Safety Hub record inherits the permanent"
"20260801082000","20260801082000_committee_safety_links.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; grant-change; cron-or-trigger","4/8 names mentioned in Production schema","public.committee_meeting_items; public.committee_meetings; public.committees; public.rg_be_smart_actions; public.rg_bright_ideas; public.rg_quality_improvement_items; public.rg_risk_register; public.validate_committee_meeting_safety_link","Meeting decisions can link to Safety Hub records, but only within the committee's organisation scope and only to a real supported record."
"20260801083000","20260801083000_scoped_administration_integrity.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","10/19 names mentioned in Production schema","auth.uid; auth.users; public.admin_cancel_team_invite; public.admin_create_team_invite; public.admin_manage_team_membership; public.admin_membership_integrity_report; public.admin_save_user_roles; public.administration_audit_log; public.administration_effective_mode; public.administration_scope_allows; public.app_role; public.associations; public.clubs; public.guard_team_membership_integrity; public.is_super_admin; public.membership_type_enum; public.profiles; public.requests; public.team_memberships; public.teams; public.user_roles","Scoped administration, membership integrity and immutable administration audit.  This migration deliberately does not clean historical duplicate memberships."
"20260801084000","20260801084000_administration_scope_reads_and_snapshot.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change","6/14 names mentioned in Production schema","auth.uid; auth.users; public.admin_membership_integrity_report; public.admin_update_profile_details; public.admin_visible_profile_ids; public.administration_audit_log; public.administration_effective_mode; public.administration_integrity_snapshot_batches; public.administration_membership_integrity_snapshot; public.administration_scope_allows; public.clubs; public.is_super_admin; public.profiles; public.team_memberships; public.teams; public.user_roles","Scoped administration reads plus a non-destructive snapshot of the historical membership-integrity issues identified during owner testing."
"20260801085000","20260801085000_super_admin_viewing_scope.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","3/5 names mentioned in Production schema","auth.uid; public.administration_effective_mode; public.administration_scope_allows; public.clubs; public.teams; public.user_roles","Keep Super Admin authority intact while allowing the selected ""Viewing as"" mode to apply the scope supplied by the interface. A real Super Admin may deliberately use a lower Viewing-as mode. The"
"20260801090000","20260801090000_communication_message_revisions.sql","Main only","No","B3 Communications","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; cron-or-trigger","1/3 names mentioned in Production schema","auth.uid; auth.users; public.capture_communication_message_revision; public.communication_message_revisions; public.communication_messages","Preserve every earlier message version so participants can verify what changed."
"20260801091000","20260801091000_division_umpire_vote_scheme.sql","Main only","No","B3 Umpire operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update","All names mentioned in Production schema","public.divisions","Store the official Umpire Match Voting scheme with the division so the ballot cannot choose a different scheme from the configured competition. The Dev dry-run found 12 explicitly junior divisions. Preserve the existing"
"20260801092000","20260801092000_shared_sport_position_catalogue.sql","Main only","No","B3 Hockey operations","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; rls-or-policy; grant-change","7/9 names mentioned in Production schema","auth.uid; auth.users; public.associations; public.clubs; public.formation_positions; public.is_super_admin; public.player_position_preferences; public.sport_position_aliases; public.sport_position_groups; public.teams; public.user_roles",""
"20260801093000","20260801093000_safety_risk_configuration_workflow.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; grant-change; cron-or-trigger","5/6 names mentioned in Production schema","auth.uid; private.rg_can_manage_scope; private.rg_prevent_category_rename; public.clubs; public.is_super_admin; public.rg_dropdown_values; public.rg_risk_matrix; public.rg_risk_settings; public.save_safety_risk_configuration","Audited, organisation-scoped Safety Hub matrix and category configuration."
"20260801094000","20260801094000_committee_work_and_storage.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert; security-definer; rls-or-policy; grant-change; cron-or-trigger","5/24 names mentioned in Production schema","auth.uid; public.audit_committee_activity; public.can_upload_committee_file; public.can_view_committee; public.committee_activity_log; public.committee_agenda_template_items; public.committee_agenda_templates; public.committee_meeting_item_links; public.committee_meeting_items; public.committee_meetings; public.committee_members; public.committee_polls; public.committees; public.create_committee_agenda_template; public.create_committee_meeting_from_template; public.get_committee_meeting_item_links; public.has_committee_permission; public.profiles; public.rg_be_smart_actions; public.rg_bright_ideas; public.rg_quality_improvement_items; public.rg_risk_register; public.save_committee_meeting_attendance; public.set_committee_meeting_item_links; public.validate_committee_meeting_item_link; storage.buckets; storage.foldername; storage.objects","Complete the operational committee workspace without removing historical data. The original and later constraints used different QI labels. Keep the established short label consistently for both legacy and new links."
"20260801095000","20260801095000_restrict_administration_rpc_execution.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","grant-change","2/10 names mentioned in Production schema","public.admin_cancel_team_invite; public.admin_create_team_invite; public.admin_manage_team_membership; public.admin_membership_integrity_report; public.admin_merge_profiles; public.admin_save_user_roles; public.admin_update_profile_details; public.admin_visible_profile_ids; public.administration_effective_mode; public.administration_scope_allows","Supabase grants new public functions directly to API roles through default privileges. Remove anonymous execution explicitly from administration RPCs. This older administrator function also mutates profile data and must never"
"20260801131220","20260801131220_fix_admin_role_enum_reference.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","grant-change","3/4 names mentioned in Production schema","public.admin_save_user_roles; public.app_role; public.user_role_enum; public.user_roles","The live Dev schema uses public.user_role_enum for public.user_roles.role. The scoped administration migration retained one stale public.app_role cast, which caused Association Admin role saves to fail at runtime."
"20260802100000","20260802100000_advanced_permission_management.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-update; data-insert; security-definer; rls-or-policy; grant-change","8/29 names mentioned in Production schema","auth.uid; public.administration_audit_log; public.administration_effective_mode; public.associations; public.can_manage_module_scope; public.clubs; public.divisions; public.has_effective_permission; public.is_super_admin; public.permission_assignments; public.permission_catalogue; public.permission_group_members; public.permission_groups; public.permission_overrides; public.permission_scope_details; public.permission_set_permissions; public.permission_sets; public.permission_subject_matches; public.permission_user_in_scope; public.permission_visible_profiles; public.profiles; public.resolve_effective_permission; public.resolve_module_enabled; public.save_permission_assignment; public.save_permission_group; public.save_permission_override; public.save_permission_set; public.team_memberships; public.teams; public.user_roles","Reusable permission groups, named permission sets and direct user/role/group overrides. Organisation module flags remain the baseline; the closest subject-specific rule can make a narrower exception."
"20260802101000","20260802101000_harden_permission_subject_hierarchy.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","2/12 names mentioned in Production schema","public.administration_effective_mode; public.permission_save_assignment_unchecked; public.permission_save_group_unchecked; public.permission_save_override_unchecked; public.permission_subject_manageable; public.permission_user_in_scope; public.permission_visible_profiles_for_mode; public.profiles; public.save_permission_assignment; public.save_permission_group; public.save_permission_override; public.user_roles","Keep permission management inside the same role hierarchy as user administration. The original scoped save functions remain private implementation details; the public wrappers below reject attempts to target an equal or higher role."
"20260802102000","20260802102000_harden_is_super_admin_search_path.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer","All names mentioned in Production schema","auth.uid; public.is_super_admin; public.user_roles","Keep Super Admin checks reliable when called by functions that use an empty search path. Schema-qualified names also prevent object-shadowing attacks."
"20260802103000","20260802103000_harden_permission_function_execution.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","2/18 names mentioned in Production schema","auth.uid; public.can_manage_module_scope; public.has_effective_permission; public.is_super_admin; public.permission_save_assignment_unchecked; public.permission_save_group_unchecked; public.permission_save_override_unchecked; public.permission_scope_details; public.permission_subject_manageable; public.permission_subject_matches; public.permission_user_in_scope; public.permission_visible_profiles; public.permission_visible_profiles_for_mode; public.profiles; public.resolve_effective_permission; public.save_permission_assignment; public.save_permission_group; public.save_permission_override; public.save_permission_set","Keep permission-management profile searches inside the caller's real scope. Internal SECURITY DEFINER helpers are deliberately not Data API endpoints. Owner-to-owner helpers only. They are called by the authenticated wrapper"
"20260802104000","20260802104000_validate_admin_role_scopes.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","4/5 names mentioned in Production schema","public.admin_save_user_roles; public.admin_save_user_roles_unchecked; public.associations; public.clubs; public.teams","Reject incomplete, duplicate or mismatched role scopes before the existing scoped administration function changes any role rows."
"20260802105000","20260802105000_transactional_dev_account_and_role_guards.sql","Main only","No","B1 Access and identity","SPLIT_PRODUCTION_AND_DEV_CONTENT","Retain the generic duplicate-role guard but exclude disposable Dev-account helpers.","data-delete; data-update; data-insert; security-definer; grant-change; cron-or-trigger","9/12 names mentioned in Production schema","auth.users; public.administration_audit_log; public.associations; public.clubs; public.guard_user_role_duplicate_insert; public.membership_status_enum; public.membership_type_enum; public.profiles; public.provision_dev_test_account_data; public.team_memberships; public.teams; public.user_role_enum; public.user_roles","Transactional database reset for disposable Dev test accounts, plus a null-safe guard that blocks new duplicate role scopes without touching historical rows."
"20260802106000","20260802106000_mode_aware_permission_management.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","1/20 names mentioned in Production schema","public.administration_effective_mode; public.administration_scope_allows; public.permission_assignments; public.permission_groups; public.permission_mode_scope_allows; public.permission_overrides; public.permission_save_assignment_unchecked; public.permission_save_group_unchecked; public.permission_save_override_unchecked; public.permission_save_set_unchecked; public.permission_scope_details; public.permission_sets; public.permission_subject_manageable; public.permission_user_in_scope; public.permission_visible_profiles_for_mode; public.profiles; public.save_permission_assignment; public.save_permission_group; public.save_permission_override; public.save_permission_set","Restrict advanced permission management to the scope of the caller's selected ""Viewing as"" mode, not merely the highest role on their account. Existing save implementations remain private so their validation and audit"
"20260802107000","20260802107000_mode_aware_permission_listing.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","1/11 names mentioned in Production schema","public.list_permission_management_records_for_mode; public.permission_assignments; public.permission_group_members; public.permission_groups; public.permission_mode_scope_allows; public.permission_overrides; public.permission_set_permissions; public.permission_sets; public.permission_subject_manageable; public.permission_user_in_scope; public.profiles","Advanced permission administration must honour the selected ""Viewing as"" mode for reads as well as writes. The browser receives only records for the currently selected scope through this guarded RPC; direct Data API reads of"
"20260802108000","20260802108000_harden_permission_group_assignments.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","None mentioned in Production schema","public.permission_assignments; public.permission_group_members; public.permission_groups; public.permission_mode_scope_allows; public.permission_overrides; public.permission_save_assignment_unchecked; public.permission_save_override_unchecked; public.permission_sets; public.permission_subject_manageable; public.permission_user_in_scope; public.save_permission_assignment; public.save_permission_override","Prevent direct RPC callers from applying a permission group outside the group's exact scope or to group members who are outside the caller's role hierarchy. The UI already filters these groups; these checks enforce the"
"20260802109000","20260802109000_authorise_dev_test_provisioning_session.sql","Main only","No","B1 Shared database foundation","EXCLUDE_DEV_ONLY","Authorises the disposable Dev-account provisioner.","security-definer; grant-change","1/2 names mentioned in Production schema","auth.sessions; public.authorise_dev_test_account_provisioning; public.user_roles","Authorise the Dev-only disposable-account provisioner against the live Auth session as well as the caller's current SUPER_ADMIN database role. The Edge Function calls this with the service role; browser callers cannot."
"20260802110000","20260802110000_mode_aware_runtime_permissions.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; grant-change","8/23 names mentioned in Production schema","auth.uid; public.administration_effective_mode; public.administration_scope_allows; public.associations; public.clubs; public.divisions; public.has_effective_permission; public.is_super_admin; public.permission_assignments; public.permission_catalogue; public.permission_group_members; public.permission_groups; public.permission_overrides; public.permission_set_permissions; public.permission_sets; public.permission_subject_matches_for_mode; public.permission_user_in_scope; public.resolve_effective_permission; public.resolve_effective_permission_for_mode; public.resolve_module_enabled; public.team_divisions; public.team_memberships; public.teams; public.user_roles","Runtime module access must honour the active Viewing-as mode. The previous resolver inspected every role on the signed-in account, so a higher stored role could still win while the interface was deliberately in a lower mode."
"20260802111000","20260802111000_scope_role_mutations_and_preserve_membership_player.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-delete; data-insert; security-definer; grant-change","6/11 names mentioned in Production schema","auth.uid; public.admin_save_user_roles_unchecked; public.administration_audit_log; public.administration_effective_mode; public.administration_scope_allows; public.administration_target_profile_in_scope; public.clubs; public.profiles; public.team_memberships; public.teams; public.user_role_enum; public.user_roles","Close the remaining scoped role-mutation gaps without changing historical role or membership rows. "
"20260802112000","20260802112000_enforce_permission_set_scope_containment.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; grant-change; cron-or-trigger","1/7 names mentioned in Production schema","public.enforce_permission_assignment_scope; public.enforce_permission_set_owner_scope; public.permission_assignments; public.permission_scope_contains; public.permission_scope_details; public.permission_sets; public.team_divisions","Keep permission sets inside the organisation scope that owns them. An owner scope may assign at the same scope or below it, but never into a sibling scope or another organisation. This invariant is enforced at the"
"20260802113000","20260802113000_session_bound_permission_mode.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; rls-or-policy; grant-change","None mentioned in Production schema","auth.jwt; auth.sessions; auth.uid; auth.users; private.auth_session_permission_mode_revision_seq; private.auth_session_permission_modes; private.module_allowed_for_current_session; public.administration_effective_mode; public.get_active_permission_mode; public.resolve_effective_permission_for_mode; public.set_active_permission_mode","Bind runtime module permissions to the caller's live Supabase Auth session. A browser-supplied mode is not trusted until this migration validates and stores it for that exact auth.sessions row."
"20260802113500","20260802113500_session_bound_permission_context.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; data-insert; security-definer; grant-change","8/15 names mentioned in Production schema","auth.jwt; auth.sessions; auth.uid; private.active_permission_mode_for_current_session; private.auth_session_permission_mode_revision_seq; private.auth_session_permission_modes; private.current_session_scope_allows; private.module_allowed_for_current_session; private.permission_context_canonical_scope; public.administration_effective_mode; public.administration_scope_allows; public.associations; public.clubs; public.divisions; public.get_active_permission_mode; public.is_super_admin; public.resolve_effective_permission_for_mode; public.resolve_effective_permission_for_mode_unchecked; public.set_active_permission_context; public.set_active_permission_mode; public.team_divisions; public.team_memberships; public.teams; public.user_roles","Extend the live-session permission mode with the selected organisation cascade. Runtime permissions must use this stored, server-validated context instead of trusting independently supplied browser mode and scope values."
"20260802114000","20260802114000_enforce_committee_safety_module_access.sql","Main only","No","B4 Governance and safety","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","security-definer; rls-or-policy; grant-change","4/30 names mentioned in Production schema","auth.jwt; auth.sessions; auth.uid; private.active_permission_mode_for_current_session; private.assert_committee_meeting_item_module_allowed; private.assert_committee_meeting_module_allowed; private.assert_committee_module_allowed; private.assert_committee_poll_module_allowed; private.auth_session_permission_modes; private.module_allowed_for_current_session; private.module_allowed_in_accessible_scope_for_current_session; private.module_allowed_in_stored_scope_for_current_session; private.permission_context_canonical_scope; private.rg_can_manage_scope; private.rg_can_manage_settings; private.rg_can_read_scope; private.rg_can_read_settings; private.rg_is_safety_admin; public.can_manage_committee_scope; public.can_upload_committee_file; public.can_view_committee; public.clubs; public.committee_meeting_items; public.committee_meetings; public.committee_member_qualifications; public.committee_members; public.committee_poll_answers; public.committee_poll_responses; public.committee_polls; public.committee_positions; public.committees; public.create_committee_agenda_template; public.create_committee_agenda_template_module_impl; public.create_committee_meeting_from_template; public.create_committee_meeting_from_template_module_impl; public.create_committee_poll; public.create_committee_poll_module_impl; public.has_committee_permission; public.is_active_committee_member; public.is_super_admin; public.rg_risk_settings; public.save_committee_meeting_attendance; public.save_committee_meeting_attendance_module_impl; public.set_committee_meeting_item_links; public.set_committee_meeting_item_links_module_impl; public.submit_committee_poll_response; public.submit_committee_poll_response_module_impl; public.user_roles","Enforce session-bound module access at the Committee Management and Safety Hub data boundaries. This migration depends on 20260802113500. Committee and Safety records are commonly scoped only to an association or"
"20260802115000","20260802115000_enforce_voting_module_access.sql","Main only","No","B1 Access and identity","CURATE_AND_REHEARSE","Do not apply the historical file directly until live-schema equivalence, dependencies and data effects are proven.","data-update; security-definer; rls-or-policy; grant-change; cron-or-trigger","33/54 names mentioned in Production schema","auth.uid; private.enforce_mvp_vote_token_session; private.module_allowed_for_current_session; private.mvp_create_pending_session; private.mvp_initial_close_at; private.mvp_write_audit; private.player_mvp_fixture_team_allowed_for_current_session; private.player_mvp_session_allowed_for_current_session; private.player_mvp_session_row_allowed_for_current_session; private.player_mvp_team_allowed_for_current_session; private.player_mvp_vote_allowed_for_current_session; private.umpire_match_fixture_allowed_for_current_session; private.umpire_match_submission_allowed_for_current_session; private.umpire_match_submission_row_allowed_for_current_session; private.voting_request_is_service_role; public.close_legacy_mvp_sessions_for_cutover; public.close_mvp_voting_session; public.close_mvp_voting_session_module_impl_20260802115000; public.clubs; public.create_mvp_session_for_fixture; public.current_session_can_access_voting_module; public.fixtures; public.get_mvp_result_check_state; public.get_mvp_result_check_state_module_impl_20260802115000; public.get_mvp_session_results; public.get_mvp_session_results_module_impl_20260802115000; public.mvp_result_checks; public.mvp_session_status; public.mvp_tokens; public.mvp_vote_audit; public.mvp_vote_submissions; public.mvp_vote_tokens; public.mvp_votes; public.mvp_voting_email_events; public.mvp_voting_sessions; public.open_mvp_voting_session; public.open_mvp_voting_session_module_impl_20260802115000; public.player_mvp_public_session_enabled; public.player_mvp_public_session_row_enabled; public.player_mvp_public_vote_enabled; public.player_vote_edits; public.player_vote_lines; public.player_vote_submissions; public.record_mvp_result_check; public.record_mvp_result_check_module_impl_20260802115000; public.reopen_mvp_voting_session; public.reopen_mvp_voting_session_module_impl_20260802115000; public.request_mvp_session_reopen; public.request_mvp_session_reopen_module_impl_20260802115000; public.resolve_module_enabled; public.resolve_mvp_result_dispute; public.resolve_mvp_result_dispute_module_impl_20260802115000; public.review_umpire_vote_submission; public.review_umpire_vote_submission_module_impl_20260802115000; public.set_team_mvp_enabled; public.set_team_mvp_enabled_module_impl_20260802115000; public.set_team_mvp_notifications_enabled; public.set_team_mvp_notifications_enabled_module_impl_20260802115000; public.submit_mvp_ballot; public.submit_mvp_ballot_module_impl_20260802115000; public.submit_umpire_match_vote; public.submit_umpire_match_vote_module_impl_20260802115000; public.teams; public.umpire_match_voting_enabled_fixture_ids; public.umpire_vote_edits; public.umpire_vote_lines; public.umpire_vote_submissions; public.withdraw_mvp_submission; public.withdraw_mvp_submission_module_impl_20260802115000","Enforce module availability at the voting data and RPC boundaries. Browser requests use the active, session-bound permission mode introduced by 20260802113500. Service-role jobs remain callable, but their Edge"
